coaster_name,Length,Speed,Location,Status,Opening date,Type,Manufacturer,Height restriction,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Soft opening date.1,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,Name,year_introduced,latitude,longitude,Type_Main,opening_date_clean,speed1,speed2,speed1_value,speed1_unit,speed_mph,height_value,height_unit,height_ft,Inversions_clean,Gforce_clean
Super Manège,"731.52 m (2,400.0 ft)",64 km/h (40 mph),La Ronde,Removed,1981,Steel,Vekoma,52 in (132 cm),Corkscrew with Bayerncurve,23 m (75 ft),2.0,Chain,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,,,,,,21 m (69 ft),,,,,,,"August 25, 2019",,,,Flash Pass Available,,,,,,,,,1981-01-01,45.5238,-73.5325,Steel,1981-01-01,64 km/h ,40 mph,64.0,km/h,39.8,23.0,m,75.5,2,
Thunder Run (Canada's Wonderland),"330 m (1,080 ft)",64 km/h (40 mph),Canada's Wonderland,Operating,"May 23, 1981 as Blauer Enzian, 1986 as Thunder Run",Steel – Powered – Mine Train,Mack Rides,102 cm (3 ft 4 in),,10 m (33 ft),0.0,,$2.7M est.,Single train with 10 cars. Riders are arranged 2 across in 2 rows for a total of 40 riders per train.,International Festival,1:24,,,,,,,,,,,,,,,,,,,,,,,,,1981-01-01,43.8427,-79.5423,Steel,1981-05-23,64 km/h ,40 mph,64.0,km/h,39.8,10.0,m,32.8,0,
Wilde Beast,"960 m (3,150 ft)",90 km/h (56 mph),Canada's Wonderland,Operating,1981,Wood,Taft Broadcasting Company,122 cm (4 ft 0 in),,25 m (82 ft),0.0,Chain lift hill,1.2M,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Medieval Faire,3:00,,,Curtis D. Summers,,23.8 m (78 ft),,Fast Lane available,,Out and Back/Figure 8,,,,,,,,,,,,,,,,1981-01-01,43.8441,-79.5432,Wood,1981-01-01,90 km/h ,56 mph,90.0,km/h,55.9,25.0,m,82.0,0,
Sea Viper (roller coaster),"600 m (2,000 ft)",70 km/h (43 mph),Sea World,Removed,17 September 1982,Steel,Arrow Dynamics,130 cm (4 ft 3 in),Loop & Corkscrew,28 m (92 ft),3.0,Chain Lift Hill,,,,1:35 minutes,,,,,,,,,,,,17 July 2014,,,,,,,,,,,,,1982-01-01,-27.9569,153.4265,Steel,1982-09-17,70 km/h ,43 mph,70.0,km/h,43.5,28.0,m,91.9,3,
Thrillseeker (roller coaster),"1,000 m (3,300 ft)",65 km/h (40 mph),Sea World,Removed,1982,Steel,S.D.C.,,Galaxi,14 m (46 ft),0.0,Chain Lift Hill,,3 trains with 2 cars. Riders are arranged 2 across in 2 rows for a total of 8 riders per train.,,2:00,,,,,,,,,Zyklon,,,May 2002,,,,,,,,,,,,,1982-01-01,-27.9567,153.425,Steel,1982-01-01,65 km/h ,40 mph,65.0,km/h,40.4,14.0,m,45.9,0,
Thunderbolt (Dreamworld),"1,207 m (3,960 ft)",87 km/h (54 mph),Dreamworld,Removed,April 1982,Steel,Sanoyas Hishino Meisho,120 cm (3 ft 11 in),Sitdown Looper,31 m (102 ft),2.0,Chain Lift Hill,A$3.3 million,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Country Fair,,960 riders per hour,,,,,,,,,,,8 August 2003,,FlowRiderWhiteWater World,,,,,,,,0 to 87 km/h (0 to 54 mph) in 4 seconds,,,1982-01-01,-27.8651,153.3165,Steel,1982-04-01,87 km/h ,54 mph,87.0,km/h,54.1,31.0,m,101.7,2,
Alpenexpress Enzian,264 m (866 ft),45 km/h (28 mph),Europa-Park,Operating,1984,Steel – Powered – Virtual reality,Mack Rides,100 cm (3 ft 3 in),Custom,6 m (20 ft),0.0,,,Single train with 10 cars. Riders are arranged 2 across in 2 rows for a total of 40 riders per train.,Austria,1:40,1100 riders per hour,,,,,,,,,,,,,,,,,,,,,,,,1984-01-01,,,Steel,1984-01-01,45 km/h ,28 mph,45.0,km/h,28.0,6.0,m,19.7,0,
Boomerang (roller coaster),285 m (935 ft),47 mph (76 km/h),Other,In Production,,Other,Vekoma,,,35.51 m (116.5 ft),6.0,,,,,About 1 min 48 sec,760 riders per hour,,,,,,,,,,,,,,,,,,,Over-the-shoulder,,,,,1984-01-01,,,Other,,47 mph ,76 km/h,47.0,mph,47.0,35.51,m,116.5,6,
The Bush Beast,"975.3 m (3,200 ft)",90 km/h (56 mph),Wonderland Sydney,Removed,7 December 1985,Wood – Out and back,Taft Broadcasting,,,27.5 m (90 ft),0.0,Chain lift hill,,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,2:30,880 riders per hour,,,,,,,,Double Out and back Figure 8[1],,,26 April 2004,,,,,,,,,,,,,1985-01-01,-33.8008,150.8512,Wood,1985-12-07,90 km/h ,56 mph,90.0,km/h,55.9,27.5,m,90.2,0,
Freestyle (roller coaster),"390.99 m (1,282.8 ft)",82 km/h (51 mph),Other,,,Steel – Stand-up,TOGO,140 cm (4 ft 7 in),Stand-up,26.8 m (88 ft),1.0,Chain lift hill,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,1:32,,,,,25.6 m (84 ft),,,,,,,"September 1, 2014",,Yukon Striker,,,,,,,,,,,1985-01-01,,,Steel,,82 km/h ,51 mph,82.0,km/h,51.0,26.8,m,87.9,1,
Kikkerachtbaan,"360 m (1,180 ft)",36 km/h (22 mph),Duinrell,Operating,1985,Steel,Zierer,120 cm (3 ft 11 in),,8 m (26 ft),0.0,,,,,1:10 m,1250 riders per hour,,,97°,,,,,,,,,,,,,,,,,,,,,1985-01-01,52.1466,4.379,Steel,1985-01-01,36 km/h ,22 mph,36.0,km/h,22.4,8.0,m,26.2,0,
Mindbender (Galaxyland),"1,279.5 m (4,198 ft)",96.5 km/h (60.0 mph),Galaxyland,closed for maintenance as of july 30 no reopening date known,"December 20, 1985",Steel – Twister,Anton Schwarzkopf,59–77 in (150–196 cm),Sitting Coaster,44.2 m (145 ft),3.0,Wheel lift lift hill,"$6,000,000",4 trains with 3 cars. Riders are arranged 2 across in 2 rows for a total of 12 riders per train.,,1:13,430 riders per hour,5.2,Werner Stengel,,38.7 m (127 ft),,,,Indoor Twister,,,,,,Official website,,,,,,,,,,1985-01-01,53.5236,-113.6203,Steel,1985-12-20,96.5 km/h ,60.0 mph,96.5,km/h,60.0,44.2,m,145.0,3,5.2
Eureka Mountain Mine Ride,300 m (980 ft),48 km/h (30 mph),Dreamworld,Removed,11 December 1986,Steel – Wild Mouse – Enclosed,HyFab,,,12 m (39 ft),0.0,Chain lift hill,,Multiple trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,Gold Rush Country,1:10,,,,,7 m (23 ft),,,,,,,7 November 2006,,Steel Taipan (partially),,,,,,,,,Seat belt,,1986-01-01,-27.8626,153.3158,Steel,1986-12-11,48 km/h ,30 mph,48.0,km/h,29.8,12.0,m,39.4,0,
Thunder Run (Canada's Wonderland),"330 m (1,080 ft)",64 km/h (40 mph),Canada's Wonderland,Operating,"May 23, 1981 as Blauer Enzian, 1986 as Thunder Run",Steel – Powered – Mine Train,Mack Rides,102 cm (3 ft 4 in),,10 m (33 ft),0.0,,$2.7M est.,Single train with 10 cars. Riders are arranged 2 across in 2 rows for a total of 40 riders per train.,International Festival,1:24,,,,,,,,,,,,,,,,,,,,,,,,,1986-01-01,43.8427,-79.5423,Steel,1981-05-23,64 km/h ,40 mph,64.0,km/h,39.8,10.0,m,32.8,0,
Lisebergbanan,"1,548 m (5,079 ft)",80 km/h (50 mph),Liseberg,Operating,18 April 1987,Steel,Zierer,,Custom steel,45 m (148 ft),0.0,Chain lift hill,,5 trains with 11 cars. Riders are arranged 2 across in a single row for a total of 22 riders per train.,,,2000 riders per hour,3,"Werner Stengel, Anton Schwarzkopf",,,,,,,,,,,,,,,,,,,,,,1987-01-01,57.695,11.9925,Steel,1987-04-18,80 km/h ,50 mph,80.0,km/h,49.7,45.0,m,147.6,0,3.0
Runaway Train (roller coaster),259 m (850 ft),22.4 mph (36.0 km/h),Chessington World of Adventures,Operating,7 June 1987 as Runaway Train 19 March 2014 as Scorpion Express,Steel – Powered,Mack Rides,90 cm (2 ft 11 in),Blauer Enzian,4.7 m (15 ft),0.0,,"GB£300,000 (equivalent to £850,047 in 2019)",Single train with 10 cars. Riders are arranged 2 across in 2 rows for a total of 40 riders per train.,Mexicana,105 seconds,700 riders per hour,,,,,,,,,Fastrack available,,,,,,,,,,,,,,,1987-01-01,51.3494,-0.318,Steel,1987-06-07,22.4 mph ,36.0 km/h,22.4,mph,22.4,4.7,m,15.4,0,
Scorpion Express,259 m (850 ft),22.4 mph (36.0 km/h),Chessington World of Adventures,Operating,7 June 1987 as Runaway Train 19 March 2014 as Scorpion Express,Steel – Powered,Mack Rides,90 cm (2 ft 11 in),Blauer Enzian,4.7 m (15 ft),0.0,,"GB£300,000 (equivalent to £850,047 in 2019)",Single train with 10 cars. Riders are arranged 2 across in 2 rows for a total of 40 riders per train.,Mexicana,105 seconds,700 riders per hour,,,,,,,,,Fastrack available,,,,,,,,,,,,,,,1987-01-01,51.3494,-0.318,Steel,1987-06-07,22.4 mph ,36.0 km/h,22.4,mph,22.4,4.7,m,15.4,0,
Eurosat - CanCan Coaster,"900 m (3,000 ft)",60 km/h (37 mph),Europa-Park,Operating,1989 (as Eurosat) September 2018 (as Eurosat - CanCan Coaster),Steel – Enclosed,Mack Rides,120 cm (3 ft 11 in),,25.5 m (84 ft),0.0,Spiral lift,,7 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,France,3:20 minutes,max. 1600 riders per hour,4,,70°,,,,Eurosat,,,,"November 5, 2017[1]",,,,,,,Single rider line available,,,,,,1989-01-01,,,Steel,1989-01-01,60 km/h ,37 mph,60.0,km/h,37.3,25.5,m,83.7,0,4.0
Goudurix,"950 m (3,120 ft)",90 km/h (56 mph),Parc Astérix,Operating,1989,Steel,Vekoma,140 cm (4 ft 7 in),,36 m (118 ft),7.0,Chain lift hill,,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,1:20,,3.9,Vekoma,64°,32.9 m (108 ft),,,,,,,,,,,,,,,,,,,,1989-01-01,49.1314,2.5714,Steel,1989-01-01,90 km/h ,56 mph,90.0,km/h,55.9,36.0,m,118.1,7,3.9
Vekoma Illusion,"765 m (2,510 ft)",50 km/h (31 mph),Bobbejaanland,Operating,"June 15, 1989",Steel – Indoor,Vekoma,100 cm (3 ft 3 in),Illusion,28 m (92 ft),0.0,,,Single train with 30 cars. Riders are arranged 2 across in a single row for a total of 60 riders per train.,,140 seconds,1200 riders per hour,,,,,"May 1, 1989",,,,,"May 1, 1989",,,,,,,,,,,,,,1989-01-01,51.1993,4.909,Steel,1989-06-15,50 km/h ,31 mph,50.0,km/h,31.1,28.0,m,91.9,0,
Pikajuna,293.0 m (961.3 ft),37 km/h (23 mph),Linnanmäki,Operating,1990,Steel,Mack Rides,,Powered Coaster,7.0 m (23.0 ft),0.0,,,,,1:35,,,,,,,,,,,,,,,,,,,,,,,,,1990-01-01,60.1875,24.9381,Steel,1990-01-01,37 km/h ,23 mph,37.0,km/h,23.0,7.0,m,23.0,0,
Turbo Mountain,"420 m (1,380 ft)",57 km/h (35 mph),Adventure World,Removed,1991,Steel – Family,Anton Schwarzkopf,,Custom Jet Star 2,12 m (39 ft),0.0,Chain lift hill,,a single car. Riders are arranged 2 across in 3 rows for a total of 6 riders per train.,,,480 riders per hour,,Ing.-Büro Stengel GmbH,,,,,,,,,2009,,Freefall,,,,,,,,,,,1991-01-01,-32.0948,115.8164,Steel,1991-01-01,57 km/h ,35 mph,57.0,km/h,35.4,12.0,m,39.4,0,
Vortex (Canada's Wonderland),"719.5 m (2,361 ft)",55 mph (89 km/h),Canada's Wonderland,Operating,"May 12, 1991",Steel – Suspended,Arrow Dynamics,122 cm (4 ft 0 in),Suspended Coaster,27.8 m (91 ft),,Chain lift hill,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Frontier Canada,1:36,,,,,26 m (85 ft),,Fast Lane available,,Terrain,,,,,,,,,,,,,,,,1991-01-01,43.8419,-79.5435,Steel,1991-05-12,55 mph ,89 km/h,55.0,mph,55.0,27.8,m,91.2,0,
Jupiter (roller coaster),"1,600 m (5,200 ft)",91 km/h (57 mph),Kijima Kogen,Operating,1992,Wood,Intamin,120 cm (3 ft 11 in),,42 m (138 ft),0.0,,2.5 billion yen,,,2:34,,,Curtis D. Summers,45°,,,,,,,,,,,,,,,,,,,,,1992-01-01,33.2617,131.4281,Wood,1992-01-01,91 km/h ,57 mph,91.0,km/h,56.5,42.0,m,137.8,0,
Hundeprutterutchebane,128 m (420 ft),30 km/h (19 mph),BonBon-Land,Operating,1993; 28 years ago,Steel – Family,Zierer,,Force - One,4.5 m (15 ft),0.0,,,,,,650 riders per hour,,,,,,,,,,,,,,,,,,,,,,,,1993-01-01,55.2599,11.8639,Steel,1993-01-01,30 km/h ,19 mph,30.0,km/h,18.6,4.5,m,14.8,0,
Condor (roller coaster),"662 m (2,172 ft)",80 km/h (50 mph),Walibi Holland,Operating,May 1994,Steel – Inverted,Vekoma,140–200 cm (4 ft 7 in–6 ft 7 in),Suspended Looping Coaster,31 m (102 ft),5.0,Chain Lift Hill,,2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,Exotic,2:02,900 riders per hour,4.5 G (Positive),,,,,,,,,,,,,,,,,,,,,,,1994-01-01,52.4404,5.7615,Steel,1994-05-01,80 km/h ,50 mph,80.0,km/h,49.7,31.0,m,101.7,5,4.5
Hakugei (roller coaster),"1,530 m (5,020 ft)",107 km/h (66 mph),Nagashima Spa Land,Operating,28 March 2019,Steel,Rocky Mountain Construction,130 cm (4 ft 3 in),I-Box Track,55 m (180 ft),3.0,Chain lift hill,"¥2,800,000,000",3 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,,,4,,80°,,,,,,,,,,,Official website,,,,,,,,,,1994-01-01,35.0303,136.7347,Steel,2019-03-28,107 km/h ,66 mph,107.0,km/h,66.5,55.0,m,180.4,3,4.0
Nemesis (roller coaster),"716 m (2,349 ft)",81 km/h (50 mph),Alton Towers,Operating,19 March 1994[2],Steel – Inverted,Bolliger & Mabillard,140 cm (4 ft 7 in),Inverted Coaster – Custom,13 m (42.7 ft),4.0,Chain lift hill,£10 million,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Forbidden Valley,1:20,1200 riders per hour,3.5[2],Werner Stengel,,31.7 m (104 ft),16 March 1994[1],,,Terrain,Fastrack available,16 March 1994[1],,,,Official website,,,,,,,,,,1994-01-01,52.9869,-1.8828,Steel,1994-03-19,81 km/h ,50 mph,81.0,km/h,50.3,13.0,m,42.7,4,3.5
Arkham Asylum – Shock Therapy,"765 m (2,510 ft)",88 km/h (55 mph),Warner Bros. Movie World,SBNO December 2019,26 December 19957 April 2012,Steel – Inverted,Vekoma,140 cm (4 ft 7 in),Suspended Looping Coaster (765m Extended w/ Helix),33.3 m (109 ft),5.0,Chain lift hill,"A$16,000,000",2 trains with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,,1:42,1010 riders per hour,4,Vekoma,,,,,,,,,December 2019,,,,,,,,,,,,,1995-01-01,-27.9083,153.3119,Steel,1995-12-26,88 km/h ,55 mph,88.0,km/h,54.7,33.3,m,109.3,5,4.0
The Gold Coaster,"900 m (3,000 ft)",85 km/h (53 mph),Other,,,Steel,Arrow Dynamics,120–205 cm (3 ft 11 in–6 ft 9 in),,40 m (130 ft),2.0,Chain lift hill,,Single train with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Ocean Parade,,400 riders per hour,3,,,,,,,,,,27 January 2001,,,Official website,,,Circa 1970s Gold Coast,,,,,,,1995-01-01,,,Steel,,85 km/h ,53 mph,85.0,km/h,52.8,40.0,m,131.2,2,3.0
Dragon Khan,"1,285 m (4,216 ft)",104.6 km/h (65.0 mph),PortAventura Park,Operating,"May 2, 1995",Steel,Bolliger & Mabillard,140–195 cm (4 ft 7 in–6 ft 5 in),Sitting Coaster,45.1 m (148 ft),8.0,Chain lift hill,,,,1:45,,4,John Wardley (layout) Ing.-Büro Stengel GmbH (mechanical role),,49.1 m (161 ft),,,,,,,,,,,,,,,,,,,,1995-01-01,41.0875,1.1608,Steel,1995-05-02,104.6 km/h ,65.0 mph,104.6,km/h,65.0,45.1,m,148.0,8,4.0
Flight Deck (Canada's Wonderland),"689.01 m (2,260.5 ft)",79.99 km/h (49.70 mph),Canada's Wonderland,Operating,1995[1],Steel – Inverted,Vekoma,132–198 cm (4 ft 4 in–6 ft 6 in),SLC (689m Standard),33.31 m (109.3 ft),5.0,Chain lift,,2 trains with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,Grande World Exposition of 1890,1:28,1040 riders per hour,,,,,,Fast Lane available,,,,,,,,,,,,,,,,,,1995-01-01,43.8412,-79.539,Steel,1995-01-01,79.99 km/h ,49.70 mph,79.99,km/h,49.7,33.31,m,109.3,5,
Backyardigans: Mission to Mars,207 m (679 ft),34.9 km/h (21.7 mph),Movie Park Germany,Operating,30 June 199619 March 20052008,Steel – Junior,Vekoma,99 cm (3 ft 3 in),Junior Coaster (207m),8.5 m (28 ft),0.0,,,Single train with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,Nickland,0:44,780 riders per hour,,,,,29 June 1996,,,,,29 June 1996,31 October 20042007,,,,,,,,,,,,,1996-01-01,51.6198,6.976,Steel,1996-06-30,34.9 km/h ,21.7 mph,34.9,km/h,21.7,8.5,m,27.9,0,
The Barnstormer,207 m (679 ft),40.2 km/h (25.0 mph),Magic Kingdom,Operating,"October 1, 1996 (Barnstormer)March 12, 2012 (Great Goofini)",Steel – Junior,Vekoma,35 in (89 cm),Junior Coaster (Custom),9.1 m (30 ft),0.0,Chain lift hill,,2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,Fantasyland - Storybook Circus,1:00,,,Walt Disney Imagineering,,,,,,,,,"February 12, 2011 (Barnstormer)",,,,,Must transfer from wheelchair,,,,,,,,1996-01-01,28.4205,-81.5784,Steel,1996-10-01,40.2 km/h ,25.0 mph,40.2,km/h,25.0,9.1,m,29.9,0,
The Barnstormer at Goofy's Wiseacre Farm,207 m (679 ft),40.2 km/h (25.0 mph),Magic Kingdom,Operating,"October 1, 1996 (Barnstormer)March 12, 2012 (Great Goofini)",Steel – Junior,Vekoma,35 in (89 cm),Junior Coaster (Custom),9.1 m (30 ft),0.0,Chain lift hill,,2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,Fantasyland - Storybook Circus,1:00,,,Walt Disney Imagineering,,,,,,,,,"February 12, 2011 (Barnstormer)",,,,,Must transfer from wheelchair,,,,,,,,1996-01-01,28.4205,-81.5784,Steel,1996-10-01,40.2 km/h ,25.0 mph,40.2,km/h,25.0,9.1,m,29.9,0,
Pyrenees (roller coaster),"1,234 m (4,049 ft)",100 km/h (62 mph),Parque Espana-Shima Spain Village,Operating,1997,Steel – Inverted,Bolliger & Mabillard,130 cm (4 ft 3 in),Inverted Coaster,45 m (148 ft),6.0,,,8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,1:53,,,Werner Stengel,,,,,,,,,,,,,,,,,,,,,,1997-01-01,34.3598,136.845,Steel,1997-01-01,100 km/h ,62 mph,100.0,km/h,62.1,45.0,m,147.6,6,
Tower of Terror II,"376.4 m (1,235 ft)",160.9 km/h (100.0 mph),Dreamworld,Removed,23 January 1997Tower of Terror),Steel – Launched – Shuttle,Intamin,120 cm (3 ft 11 in),Reverse Freefall Coaster,115 m (377 ft),0.0,Linear synchronous motor,"A$16,000,000",,Main Street,28 seconds,,4.5,,90°,108.3 m (355 ft),,,,,,,3 November 2019Tower of Terror ll),,,,,,,,,,0 to 160.9 km/h (0 to 100 mph) in 7 seconds,,,1997-01-01,-27.8641,153.3174,Steel,1997-01-23,160.9 km/h ,100.0 mph,160.9,km/h,100.0,115.0,m,377.3,0,4.5
Oblivion (roller coaster),"373 m (1,224 ft)",110 km/h (68 mph),Alton Towers,Operating,14 March 1998,Steel – Dive Coaster,Bolliger & Mabillard,140 cm (4 ft 7 in),Dive Coaster,19.8 m (65 ft),0.0,Chain lift hill,£12 million,7 trains with 2 cars. Riders are arranged 8 across in a single row for a total of 16 riders per train.,X-Sector,1:15,"1,900 riders per hour",4.5,Werner Stengel,87.5°,54.8 m (180 ft),,,,,Fastrack available,,,,,Official website,,,,,,,,,,1998-01-01,52.9866,-1.8965,Steel,1998-03-14,110 km/h ,68 mph,110.0,km/h,68.4,19.8,m,65.0,0,4.5
Roller Coaster (Dam Sen Park),"500 m (1,600 ft)",70 km/h (43 mph),Dam Sen Cultural Park,Operating,1998,Steel,Hebei Zhongye Metallurgical Equipment,54 in (137 cm),,24 m (79 ft),3.0,Chain lift,VND 20 billions,,B Area,1:30,960 riders per hour,3.8,,50°,23 m (75 ft),,,,,,,,,,,,,,,,,,,,1998-01-01,10.7605,106.6368,Steel,1998-01-01,70 km/h ,43 mph,70.0,km/h,43.5,24.0,m,78.7,3,3.8
